route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,peak_offpeak,boarding_type
line:61,1900169,27_1197569,Balma-Gramont,0,11970,0,0
line:61,1900170,27_1197570,Balma-Gramont,0,11970,0,0
line:61,1900171,27_1197571,Balma-Gramont,0,11970,0,0
line:61,1900172,27_1197572,Balma-Gramont,0,11970,0,0
line:61,1900173,27_1197573,Balma-Gramont,0,11970,0,0
line:61,1900174,27_1197574,Balma-Gramont,0,11970,0,0
line:61,1900175,27_1197575,Balma-Gramont,0,11970,0,0
line:61,1900176,27_1197576,Balma-Gramont,0,11970,0,0
line:61,1900177,27_1197577,Balma-Gramont,0,11970,0,0
line:61,1900178,27_1197578,Balma-Gramont,0,11970,0,0
line:61,1900179,27_1197579,Balma-Gramont,0,11970,0,0
line:61,1900180,27_1197580,Balma-Gramont,0,11970,0,0
line:61,1900181,27_1197581,Balma-Gramont,0,11970,0,0
line:61,1900182,27_1197582,Balma-Gramont,0,11970,0,0
line:61,1900183,27_1197583,Balma-Gramont,0,11970,0,0
line:61,1900184,27_1197584,Balma-Gramont,0,11970,0,0
line:61,1900185,27_1197585,Balma-Gramont,0,11970,0,0
line:61,1900186,27_1197586,Balma-Gramont,0,11970,0,0
line:61,1900187,27_1197587,Balma-Gramont,0,11970,0,0
line:61,1900188,27_1197588,Balma-Gramont,0,11970,0,0
line:61,1900189,27_1197589,Balma-Gramont,0,11970,0,0
line:61,1900190,27_1197590,Balma-Gramont,0,11970,0,0
line:61,1900191,27_1197591,Balma-Gramont,0,11970,0,0
line:61,1900192,27_1197592,Balma-Gramont,0,11970,0,0
line:61,1900193,27_1197593,Balma-Gramont,0,11970,0,0
line:61,1900194,27_1197594,Balma-Gramont,0,11970,0,0
line:61,1900195,27_1197595,Balma-Gramont,0,11970,0,0
line:61,1900196,27_1197596,Balma-Gramont,0,11970,0,0
line:61,1900197,27_1197597,Balma-Gramont,0,11970,0,0
line:61,1900198,27_1197598,Balma-Gramont,0,11970,0,0
line:61,1900199,27_1197599,Balma-Gramont,0,11970,0,0
line:61,1900200,27_1197600,Balma-Gramont,0,11970,0,0
line:61,1900201,27_1197601,Balma-Gramont,0,11970,0,0
line:61,1900202,27_1197602,Balma-Gramont,0,11970,0,0
line:61,1900203,27_1197603,Balma-Gramont,0,11970,0,0
line:61,1900204,27_1197604,Balma-Gramont,0,11970,0,0
